dataset,rank,method,score
10_cover,1.0,KNN,0.977 ± 0.033
10_cover,2.0,MSDE,0.967 ± 0.039
10_cover,3.0,SOD,0.963 ± 0.055
10_cover,4.0,CBLOF,0.948 ± 0.061
10_cover,5.0,IForest,0.933 ± 0.078
10_cover,6.0,LODA,0.874 ± 0.188
10_cover,7.0,PCA,0.868 ± 0.201
10_cover,8.0,OCSVM,0.865 ± 0.201
10_cover,9.0,ECOD,0.863 ± 0.215
10_cover,10.0,DAGMM,0.859 ± 0.141
10_cover,11.0,HBOS,0.858 ± 0.211
10_cover,12.0,COPOD,0.848 ± 0.218
10_cover,13.0,LOF,0.843 ± 0.265
10_cover,14.0,COF,0.804 ± 0.309
11_donors,1.0,MSDE,0.919 ± 0.094
11_donors,2.0,CBLOF,0.896 ± 0.120
11_donors,3.0,IForest,0.885 ± 0.133
11_donors,4.0,KNN,0.861 ± 0.116
11_donors,5.0,SOD,0.835 ± 0.137
11_donors,6.0,ECOD,0.830 ± 0.215
11_donors,7.0,COPOD,0.827 ± 0.215
11_donors,8.0,OCSVM,0.826 ± 0.222
11_donors,9.0,PCA,0.825 ± 0.220
11_donors,10.0,LODA,0.819 ± 0.216
11_donors,11.0,HBOS,0.814 ± 0.230
11_donors,12.0,COF,0.787 ± 0.230
11_donors,13.0,LOF,0.784 ± 0.243
11_donors,14.0,DAGMM,0.783 ± 0.179
12_fault,1.0,MSDE,0.976 ± 0.033
12_fault,2.0,IForest,0.962 ± 0.046
12_fault,3.0,PCA,0.949 ± 0.058
12_fault,4.0,OCSVM,0.945 ± 0.063
12_fault,5.0,ECOD,0.937 ± 0.070
12_fault,6.0,HBOS,0.932 ± 0.070
12_fault,7.0,LODA,0.930 ± 0.072
12_fault,8.0,COPOD,0.919 ± 0.065
12_fault,9.0,CBLOF,0.876 ± 0.176
12_fault,10.0,KNN,0.870 ± 0.188
12_fault,11.0,SOD,0.852 ± 0.195
12_fault,12.0,COF,0.832 ± 0.275
12_fault,13.0,DAGMM,0.810 ± 0.085
12_fault,14.0,LOF,0.801 ± 0.257
13_fraud,1.0,KNN,0.984 ± 0.028
13_fraud,2.0,MSDE,0.981 ± 0.031
13_fraud,3.0,CBLOF,0.980 ± 0.027
13_fraud,4.0,COF,0.975 ± 0.030
13_fraud,5.0,SOD,0.971 ± 0.048
13_fraud,6.0,IForest,0.956 ± 0.051
13_fraud,7.0,LOF,0.954 ± 0.073
13_fraud,8.0,DAGMM,0.948 ± 0.058
13_fraud,9.0,LODA,0.929 ± 0.107
13_fraud,10.0,PCA,0.922 ± 0.107
13_fraud,11.0,OCSVM,0.919 ± 0.125
13_fraud,12.0,COPOD,0.910 ± 0.148
13_fraud,13.0,ECOD,0.905 ± 0.155
13_fraud,14.0,HBOS,0.902 ± 0.145
14_glass,1.0,COF,0.911 ± 0.068
14_glass,2.0,SOD,0.904 ± 0.104
14_glass,3.0,CBLOF,0.886 ± 0.132
14_glass,4.0,KNN,0.869 ± 0.091
14_glass,5.0,IForest,0.860 ± 0.162
14_glass,6.0,MSDE,0.847 ± 0.172
14_glass,7.0,ECOD,0.822 ± 0.211
14_glass,8.0,OCSVM,0.816 ± 0.209
14_glass,9.0,PCA,0.812 ± 0.215
14_glass,10.0,COPOD,0.811 ± 0.214
14_glass,11.0,HBOS,0.810 ± 0.235
14_glass,12.0,DAGMM,0.798 ± 0.191
14_glass,13.0,LODA,0.783 ± 0.242
14_glass,14.0,LOF,0.746 ± 0.315
15_Hepatitis,1.0,IForest,0.919 ± 0.115
15_Hepatitis,2.0,MSDE,0.919 ± 0.114
15_Hepatitis,3.0,KNN,0.911 ± 0.063
15_Hepatitis,4.0,CBLOF,0.899 ± 0.081
15_Hepatitis,5.0,SOD,0.896 ± 0.072
15_Hepatitis,6.0,PCA,0.876 ± 0.199
15_Hepatitis,7.0,OCSVM,0.876 ± 0.198
15_Hepatitis,8.0,ECOD,0.873 ± 0.203
15_Hepatitis,9.0,COPOD,0.871 ± 0.198
15_Hepatitis,10.0,HBOS,0.857 ± 0.221
15_Hepatitis,11.0,LODA,0.836 ± 0.178
15_Hepatitis,12.0,LOF,0.815 ± 0.281
15_Hepatitis,13.0,COF,0.798 ± 0.236
15_Hepatitis,14.0,DAGMM,0.788 ± 0.190
16_http,1.0,MSDE,0.837 ± 0.209
16_http,2.0,ECOD,0.836 ± 0.213
16_http,3.0,IForest,0.835 ± 0.216
16_http,4.0,CBLOF,0.832 ± 0.213
16_http,5.0,COPOD,0.831 ± 0.211
16_http,6.0,PCA,0.827 ± 0.213
16_http,7.0,KNN,0.814 ± 0.223
16_http,8.0,COF,0.797 ± 0.236
16_http,9.0,DAGMM,0.790 ± 0.241
16_http,10.0,OCSVM,0.785 ± 0.250
